player_hand,dealer_upcard,can_double,result
KS-6H,8H,1,hit
JH-6S,8D,1,hit
JH-6S-4C,8D,0,stand
AC-2H,QH,1,hit
AC-2H-10D,QH,0,hit
8S-7D,2S,1,stand
10D-5S,9D,1,hit
10C-QC,4C,1,stand
3D-5S,QD,1,hit
3D-5S-AH,QD,0,stand
QH-KC,7S,1,stand
10H-KH,JD,1,stand
4S-9C,7S,1,hit
KC-3H,KH,1,hit
KC-3H-8S,KH,0,stand
QS-9H,2H,1,stand
JD-9H,AD,1,stand
4S-7D,QH,1,double down
2S-2H,QH,1,hit
2S-2H-4D,QH,0,hit
2S-2H-4D-AH,QH,0,stand
JC-QH,JD,1,stand
2S-8C,JH,1,hit
2S-8C-QC,JH,0,stand
8H-9S,10H,1,stand
JS-9S,AD,1,stand
10S-7S,9D,1,stand
9S-2S,4C,1,double down
9D-8S,6C,1,stand
QC-2S,JC,1,hit
QC-2S-6D,JC,0,stand
9C-JH,QD,1,stand
3D-JS,JD,1,hit
3D-JS-3S,JD,0,hit
3D-JS-3S-2S,JD,0,stand
7S-10S,10C,1,stand
QC-6D,5D,1,stand
10C-5S,5D,1,stand
8H-7H,2C,1,stand
8C-KH,JS,1,stand
7C-5S,8S,1,hit
5D-7S,2C,1,hit
5D-7S-8S,2C,0,stand
6S-3D,2C,1,hit
6S-3D-8H,2C,0,stand
4S-3H,6C,1,hit
4S-3H-JD,6C,0,stand
QD-9D,7H,1,stand
9C-2D,QC,1,double down
5D-8C,9H,1,hit
7S-9H,8S,1,hit
7S-9H-3C,8S,0,stand
5H-KC,KS,1,hit
JC-KH,10H,1,stand
6S-2S,3D,1,hit
6S-2S-9C,3D,0,stand
10C-8S,JH,1,stand
KS-3D,7D,1,hit
KS-3D-8S,7D,0,stand
2C-KD,10S,1,hit
2C-KD-3H,10S,0,hit
6H-KS,8H,1,hit
10C-KS,3C,1,stand
3C-JC,8C,1,hit
3C-JC-2S,8C,0,hit
3C-JC-2S-3H,8C,0,stand
7H-3S,3D,1,double down
2H-10D,AH,1,hit
2H-10D-7D,AH,0,stand
6H-KC,2C,1,stand
7H-AS,4S,1,double down
8S-AC,6D,1,double down
6D-5C,10C,1,double down
7D-5D,AD,1,hit
5D-3D,6H,1,hit
5D-3D-3S,6H,0,hit
5D-3D-3S-4S,6H,0,stand
9H-JC,AC,1,stand
KC-6H,JC,1,hit
KC-6H-AS,JC,0,stand
6C-8D,AH,1,hit
6C-8D-7C,AH,0,stand
6D-QC,10S,1,hit
JS-8H,9S,1,stand
10D-6H,4C,1,stand
QH-QD,QS,1,stand
3S-KH,2D,1,stand
7C-7S,QC,1,hit
7C-7S-2H,QC,0,hit
JH-5C,JC,1,hit
JH-5C-AS,JC,0,hit
QD-9C,7H,1,stand
AC-3C,KD,1,hit
AC-3C-9C,KD,0,hit
AC-3C-9C-4C,KD,0,stand
3H-2D,JH,1,hit
3H-2D-10S,JH,0,hit
3H-2D-10S-6D,JH,0,stand
AD-6H,4S,1,double down
8S-4D,8H,1,hit
4C-KC,6C,1,stand
9H-6C,8D,1,hit
QS-8C,QH,1,stand
5H-6H,QC,1,double down
4D-6S,7H,1,double down
QD-KD,8H,1,stand
4S-3C,JH,1,hit
4S-3C-AD,JH,0,hit
4S-3C-AD-8C,JH,0,hit
KD-6H,KC,1,hit
4S-6C,KS,1,hit
4S-6C-9D,KS,0,stand
8H-3C,QD,1,double down
5C-8H,JH,1,hit
6S-3C,5C,1,double down
10D-3D,9S,1,hit
10D-3D-2C,9S,0,hit
KC-4S,JS,1,hit
KC-4S-6S,JS,0,stand
JC-2H,4H,1,stand
4D-QH,8C,1,hit
4D-QH-AS,8C,0,hit
5C-8H,7S,1,hit
5C-8H-4D,7S,0,stand
5S-JC,KH,1,hit
7C-4C,10C,1,double down
QH-9S,10D,1,stand
10C-QD,5S,1,stand
5H-KS,JC,1,hit
QH-4C,KC,1,hit
4S-AS,9H,1,hit
4S-AS-JS,9H,0,hit
2C-QD,8D,1,hit
2C-QD-2S,8D,0,hit
10D-7C,8H,1,stand
QH-2D,5H,1,stand
7S-JC,4D,1,stand
8D-AC,KH,1,stand
KH-3D,QS,1,hit
KH-3D-8D,QS,0,stand
2D-9H,5H,1,double down
5S-JS,8H,1,hit
5S-JS-4C,8H,0,stand
5S-10S,10C,1,hit
5S-10S-2D,10C,0,stand
9D-7D,4H,1,stand
KS-JS,9S,1,stand
5H-7D,2S,1,hit
5H-7D-3H,2S,0,stand
4D-KS,3C,1,stand
3D-2H,QC,1,hit
3D-2H-7D,QC,0,hit
3D-2H-7D-2S,QC,0,hit
